"editoria_99","impressions_99","editoria_115","impressions_115","editoria_105","impressions_105","editoria_114","impressions_114","editoria_110","impressions_110","editoria_111","impressions_111","editoria_117","impressions_117","editoria_116","impressions_116","editoria_112","impressions_112","editoria_113","impressions_113","dt","editoria_0","impressions_0"
"Inspiração","398034","Wishlist","1222778","Comemorativo","326550","Vídeo","2197519","Produto","902317","Produto GIF","160144","Passo a Passo","168427","PPLA - Blog Belliz","208247","Relacionamento","839494","Tendência","173688","2016-12","",""
"","","Wishlist","289568","Comemorativo","408691","","","","","","","","","","","Relacionamento","500264","","","2017-01","Sem Editoria","1129601"
